# LAMMPS data file written by OVITO Pro 3.7.10
432 atoms
2 atom types
0.0 16.51501 xlo xhi
0.0 16.51501 ylo yhi
0.0 16.51501 zlo zhi

Masses

1 2.014012  #1.00794  # H
2 14.0067  # N

Atoms  # atomic

163 1 10.84129 13.59076 6.94368
164 1 11.9052 14.70562 6.2856
165 1 5.17297 10.48991 11.56629
166 1 10.7411 10.35533 7.30228
167 1 6.14276 9.3426 8.02837
168 1 11.68355 6.21499 5.02418
169 1 1.84894 4.50167 16.34345
170 1 8.65675 8.88299 10.47091
171 1 6.73873 12.54125 11.35975
172 1 4.53944 6.59072 13.67908
173 1 5.66676 9.19741 10.63387
174 1 5.17131 7.29127 15.41773
175 1 8.06221 9.69532 15.64518
176 1 7.29933 9.61634 14.30677
177 1 5.57755 5.82704 16.1081
178 1 8.57923 10.25719 9.57527
179 1 1.02767 3.72759 3.73855
180 1 8.91359 5.48481 14.38386
181 1 6.27065 12.13725 0.114
182 1 11.10406 13.88466 2.12505
183 1 4.10486 14.68177 16.04973
184 1 6.30059 8.22391 1.05488
185 1 8.96685 14.00424 13.78388
186 1 15.32292 15.51897 9.3441
187 1 5.81098 1.06198 0.97139
188 1 7.0341 0.40643 1.80289
189 1 14.4094 16.10011 8.14366
190 1 11.54452 15.47704 2.52149
191 1 8.41402 12.66433 4.24468
192 1 10.11733 11.67551 0.315
193 1 3.99835 12.5919 9.23505
194 1 15.02552 14.41012 12.9878
195 1 5.97808 0.66845 6.86846
196 1 10.69453 13.96926 5.37478
197 1 15.37166 14.79998 7.93459
198 1 7.54331 14.78551 8.33446
199 1 6.05283 3.6926 7.36477
200 1 7.59769 3.60757 6.77403
201 1 7.69937 14.77685 9.94306
202 1 14.01058 14.68084 11.82511
203 1 7.06039 13.70415 12.32073
204 1 9.85186 9.08568 3.203
205 1 0.37596 14.50791 10.63678
206 1 15.36889 12.8167 4.02226
207 1 16.24229 12.61076 6.81747
208 1 8.36487 10.92452 14.53291
209 1 6.31583 15.42784 9.25628
210 1 9.8488 14.91197 14.84406
211 1 9.46667 1.16994 13.65304
212 1 9.49996 2.40037 12.549
213 1 8.07772 14.76031 14.71124
214 1 14.02849 13.33547 4.85468
215 1 5.46103 12.18686 14.28575
216 1 9.32404 12.9849 8.84084
217 1 13.80414 5.50909 7.1429
218 1 2.47154 1.37371 3.55682
219 1 11.475 6.03758 13.83609
220 1 10.09976 4.39863 6.27074
221 1 12.07918 1.22665 6.62587
222 1 0.58359 3.36889 6.43237
223 1 15.0985 3.13174 5.32255
224 1 15.3872 2.72854 3.80728
225 1 16.34247 2.67129 7.60201
226 1 1.32102 0.23162 3.93558
227 1 10.81871 3.07837 10.2378
228 1 1.25234 0.1661 16.04752
229 1 11.64939 6.81423 11.39234
230 1 1.68102 0.63724 7.08471
231 1 11.41492 7.73678 4.69967
232 1 12.45487 15.66582 9.81469
233 1 1.59171 2.95492 7.70053
234 1 12.92368 3.75968 10.29165
235 1 12.27776 6.49955 8.93605
236 1 12.89519 7.9972 8.46349
237 1 13.28197 2.68035 11.42197
238 1 1.87966 15.78882 7.94008
239 1 12.08198 2.19403 16.07966
240 1 4.67657 14.29183 2.56925
241 1 7.33192 3.50342 13.67604
242 1 16.46863 4.50152 12.89483
243 1 9.50733 6.88491 15.12229
244 1 14.05745 14.35634 0.26512
245 1 13.56534 4.21132 11.78569
246 1 12.53068 0.79033 5.13461
247 1 14.54927 0.59909 14.09502
248 1 15.42404 1.06998 15.34621
249 1 10.98027 0.39784 5.63631
250 1 0.53109 3.17332 12.34217
251 1 12.1726 15.70737 13.90561
252 1 15.90545 12.84838 11.6699
253 1 11.6857 5.65096 2.03713
254 1 1.20215 7.47157 2.4555
